General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Uttar Pradesh,Muzaffarnagar,Oxygen,,,Indian Gases,29.4726817,77.7085091,Muzaffar Nagar,['+919149261401']
Uttar Pradesh,Muzaffarnagar,Hospital Beds,Notes: Onygen beds,,District Hospital,29.4726817,77.7085091,Muzaffar Nagar,['+911312436918']
Uttar Pradesh,Muzaffarnagar,Oxygen,Notes: Contact person: Raju,,Rama Industries,29.4726817,77.7085091,Muzaffar Nagar,['+919837027578']
Uttar Pradesh,Muzaffarnagar,Oxygen,Notes: Contact person: Som prakash,,Baba Gases,29.4726817,77.7085091,Muzaffar Nagar,['+919837100445']
