General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Ahmednagar,Oxygen,Notes: Vilas Lodha,,Ahmednagar Gases Pvt Ltd,19.0948287,74.74797889999999,Ahmednagar,['+919028789783']
Maharashtra,Ahmednagar,Hospital Beds,,,Pacific Hospital,19.083785,74.73348849999999,Swastika Chowk,['+917020553055']
Maharashtra,Ahmednagar,Oxygen,"Notes: Ashish jaju, Pankaj jaju",,Balaji Air Products,19.0948287,74.74797889999999,Ahmednagar,"['+919370025610', '+918600828485']"
Maharashtra,Ahmednagar,Oxygen,Notes: Dangerwal,,Shraddha Air Products,19.0948287,74.74797889999999,Ahmednagar,['+919422222875']
Maharashtra,Ahmednagar,Oxygen,Notes: Amit Lodha,,Hi Tech Gases,19.0948287,74.74797889999999,Ahmednagar,['+919730345679']
Maharashtra,Ahmednagar,Oxygen,,,Sanjeevani Medical And Industrial Gases,19.1515273,74.6722459,"473/1, Nimbalak Road, Ahmednagar Midc","['+919922411383', '+919922416084']"
Maharashtra,Ahmednagar,Medicines,,True,#Name?,19.0948287,74.74797889999999,,[]
