General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,Location,Distributor Contact (Phone)
West Bengal,Birbhum,Hospital Beds,,,"Glocal Hospital, Birbhum",Birbhum,[]
West Bengal,Birbhum,Plasma / Blood,,,North Bengal Medical College & Hospital Blood Bank,Darjeeling,[]
West Bengal,Birbhum,Hospital Beds,,,Niramoy Tb Sanitorium,Birbhuim,[]
West Bengal,Birbhum,Hospital Beds,,,Rampurhat Govt Medical College & Hospital,Birbhum,[]
West Bengal,Birbhum,Hospital Beds,,,Rmyf Royal Nursing Home &Diagnostic,Birbhum,[]
