General Area (State),General Area (City),Services Offered,Description,Marked for Cleaning,Distributor Name,lat,lng,Location,Distributor Contact (Phone)
Maharashtra,Jalgaon,Oxygen,Notes: Narendra Agarwal,True,Shivam Gases,20.976999,75.6009631,,"['+917507993999', '+917507991999']"
Maharashtra,Jalgaon,Oxygen,Notes: Ashish Bhandari,True,Harshita Gases Pvt. Ltd.,20.9940869,75.58032759999999,,['+919422775792']
Maharashtra,Jalgaon,Oxygen,Notes: Ashish Bansal,True,Shivam Oxygen Pvt. Ltd.,20.976999,75.6009631,,"['+917507993999', '+919422223825']"
Maharashtra,Jalgaon,Oxygen,"Notes: Rs 40,000+GST, 100% ADVANCE PAYMENT",True,Oxygen Concentrators,20.976999,75.6009631,,['+919423977185']
